,url
0,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179815&referrerAllArticles=true
1,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179813&referrerAllArticles=true
2,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179811&referrerAllArticles=true
3,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179808&referrerAllArticles=true
4,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179752&referrerAllArticles=true
5,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179749&referrerAllArticles=true
6,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179748&referrerAllArticles=true
7,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179714&referrerAllArticles=true
8,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179699&referrerAllArticles=true
9,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179662&referrerAllArticles=true
10,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179660&referrerAllArticles=true
11,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179649&referrerAllArticles=true
12,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179643&referrerAllArticles=true
13,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179642&referrerAllArticles=true
14,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179640&referrerAllArticles=true
15,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179815&referrerAllArticles=true
16,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179813&referrerAllArticles=true
17,https://cafe.naver.com/ca-fe/ArticleRead.nhn?clubid=10973228&page=1&inCafeSearch=true&searchBy=0&query=%ED%95%84%EB%8B%B5&includeAll=&exclude=&include=&exact=&searchdate=all&media=0&sortBy=date&articleid=179811&referrerAllArticles=true
